Data	Nowe przypadki	Zgony	Ozdrowieñcy (dzienna)	Aktywne przypadki	Hospitalizacje	Kwarantanna	Nadzór	Zajête ³ó¿ka 
23.04.2020	342	28	204	8116	3095	97905	20 546	
24.04.2020	381	40	182	8275	2821	87003	19 653	
25.04.2020	381	30	139	8487	2749	79656	19 116	
26.04.2020	344	12	201	8618	2759	78878	18 693	
27.04.2020	285	27	189	8687	2934	82643	18394	
28.04.2020	316	34	370	8599	2973	85837	18 016	
29.04.2020	422	28	211	8782	3012	88265	18 874	
30.04.2020	237	20	255	8744	2789	92458	18 433	
01.05.2020	228	7	271	8694	2649	95625	18 383	
02.05.2020	270	12	183	8769	2761	96612	18 306	
03.05.2020	318	15	150	8922	2653	96699	17785	
04.05.2020	313	19	185	9031	2738	100765	17 291	
05.05.2020	425	19	375	9062	2760	101395	17 081	
06.05.2020	309	18	207	9146	2711	103913	16 765	
07.05.2020	307	22	322	9109	2758	104024	17 540	
08.05.2020	319	20	253	9155	2768	102996	17 155	
09.05.2020	285	9	261	9170	2658	100784	17 225	
10.05.2020	345	15	118	9382	2598	97002	17 051	
11.05.2020	330	11	315	9386	2571	96211	17771	
12.05.2020	595	28	279	9674	2648	96062	18 009	
13.05.2020	283	23	286	9648	2538	96708	18 256	
14.05.2020	411	22	222	9815	2579	95068	18 363	
15.05.2020	401	24	257	9935	2407	90386	18 355	
16.05.2020	241	8	276	9892	2459	84542	18 195	
17.05.2020	272	10	177	9977	2544	80947	18 772	
18.05.2020	356	11	275	10047	2490	76645	18 831	
19.05.2020	383	12	280	10138	2414	76957	18 984	
20.05.2020	471	14	269	10326	2330	77461	19 729	
21.05.2020	404	10	279	10441	2261	77768	19 500	
22.05.2020	476	10	246	10661	2271	80635	19 836	
23.05.2020	312	11	217	10745	2242	79326	19 529	
24.05.2020	395	3	82	11055	2268	78259	19 587	
25.05.2020	305	11	744	10605	2171	78864	19 139	
26.05.2020	443	17	310	10721	2320	79007	19 682	
27.05.2020	399	4	230	10886	2248	79818	19 373	
28.05.2020	352	10	132	11096	2035	79995	18 224	
29.05.2020	330	13	324	11089	2207	80182	19 161	
30.05.2020	416	10	255	11240	2134	78823	18 947	
31.05.2020	215	3	178	11274	2181	77406	18 859	
01.06.2020	379	10	277	11366	2219	78470	18 692	
02.06.2020	230	18	288	11290	2150	78691	18 642	
03.06.2020	292	23	213	11346	2101	79341	18 721	
04.06.2020	361	2	183	11522	2085	81244	19 274	
05.06.2020	362	20	231	11633	2128	81820	19 994	
06.06.2020	576	14	214	11981	2007	82759	20 079	
07.06.2020	575	4	143	12409	1881	82921	19 703	
08.06.2020	599	9	198	12801	2039	84913	19 496	
09.06.2020	400	19	215	12967	1993	86002	19 336	
10.06.2020	282	23	285	12941	1672	88074	18 234	
11.06.2020	359	9	109	13182	1899	89609	19 072	1 629
12.06.2020	376	7	299	13252	1906	92654	18 904	1 711
13.06.2020	440	15	122	13555	1973	93094	18 666	1 748
14.06.2020	375	10	157	13763	1989	94518	17 966	1 736
15.06.2020	396	9	271	13879	1934	95641	17 261	1 806
16.06.2020	407	16	267	14003	0	96255	17 195	1 693
17.06.2020	506	14	396	14099	0	93722	17 354	1 849
18.06.2020	314	30	381	14002	0	97215	18 866	1 886
19.06.2020	301	18	483	13802	0	96181	18 611	1 931
20.06.2020	304	12	502	13592	0	94585	18 619	1 877
21.06.2020	311	10	393	13500	0	93830	18 572	1 899
22.06.2020	296	3	497	13296	0	93890	18 025	1 936
23.06.2020	300	16	561	13019	0	92992	16 574	1 965
24.06.2020	294	21	520	12772	0	92409	17 139	1 974
25.06.2020	298	16	564	12490	0	91461	16 728	1 933
26.06.2020	276	17	754	11995	0	89294	16 568	1 869
27.06.2020	319	6	576	11732	0	85603	15 211	1 845
28.06.2020	193	4	349	11572	0	83460	14 469	1 797
29.06.2020	247	6	384	11429	0	83499	13 987	1 811
30.06.2020	239	19	510	11139	0	83033	13 919	1 923
01.07.2020	382	14	418	11089	0	83521	13 941	1 787
02.07.2020	371	15	442	11003	0	84790	13 478	1 743
03.07.2020	259	14	476	10772	0	84560	13 280	1 731
04.07.2020	314	5	619	10462	0	83813	12 508	1 765
05.07.2020	231	5	220	10468	0	83767	12 118	1 790
06.07.2020	205	4	272	10397	0	85327	11 780	1 658
07.07.2020	257	7	640	10007	0	84363	11 547	1 683
08.07.2020	277	15	599	9670	0	85955	10 889	1 687
09.07.2020	262	9	571	9352	0	86712	10 565	1 597
10.07.2020	265	11	587	9019	0	86915	10 045	1 617
11.07.2020	305	6	513	8805	0	86168	9 789	1 610
12.07.2020	370	3	367	8805	0	85610	9 138	1 640
13.07.2020	299	5	241	8858	0	86747	9 473	1 581
14.07.2020	267	12	736	8377	0	87698	9 684	1 575
15.07.2020	264	6	436	8199	0	90496	9 778	1 550
16.07.2020	333	10	577	7945	0	86073	9 627	1 604
17.07.2020	353	7	419	7872	0	92008	9 715	1 551
18.07.2020	339	6	368	7837	0	89956	9 665	1 550
19.07.2020	358	6	247	7942	0	89822	9 557	1 575
20.07.2020	279	4	232	7985	0	90767	9 356	1 607
21.07.2020	399	9	368	8007	0	90961	9 846	1 644
22.07.2020	380	6	402	7979	0	92577	8 907	1 626
23.07.2020	418	9	456	7932	0	93815	7 472	1 617
24.07.2020	458	4	422	7964	0	94164	7 411	1 594
25.07.2020	584	9	334	8205	0	93311	7 418	1 601
26.07.2020	443	7	103	8538	0	92803	7 394	1 625
27.07.2020	337	5	187	8683	0	94920	7 245	1 655
28.07.2020	502	6	147	9032	0	95453	6 222	1 687
29.07.2020	512	12	453	9079	0	97561	8 094	1 694
30.07.2020	615	15	344	9335	0	97189	8 069	1 778
31.07.2020	657	7	387	9598	0	98282	8 241	1 841
01.08.2020	658	5	335	9916	0	96425	8 523	1 835
02.08.2020	548	10	172	10282	0	95794	8 272	1 841
03.08.2020	575	1	175	10681	0	98875	8 499	1 859
04.08.2020	680	6	265	11090	0	100151	9 044	1 898
05.08.2020	640	18	321	11391	0	102815	9 052	1 913
06.08.2020	726	18	399	11700	0	104923	9 237	1 928
07.08.2020	809	13	362	12134	0	107229	9 256	1 928
08.08.2020	843	13	288	12676	0	105795	9 227	1 930
09.08.2020	624	7	186	13107	0	104167	9 566	1 929
10.08.2020	619	2	273	13451	0	105427	9 230	1 085
11.08.2020	551	12	461	13529	0	106915	9 490	2 021
12.08.2020	715	9	350	13885	0	108677	9 413	2 059
13.08.2020	811	13	401	14282	0	108309	9 660	2 040
14.08.2020	832	15	491	14608	0	107395	9 606	2 028
15.08.2020	771	11	277	15091	0	103805	9 477	2 035
16.08.2020	594	8	229	15448	0	102970	9 305	2 040
17.08.2020	595	8	284	15751	0	103236	8 920	2 057
18.08.2020	597	11	456	15881	0	103621	8 813	2 097
19.08.2020	735	17	382	16217	0	103961	9 034	2 110
20.08.2020	767	12	548	16424	0	103351	8 902	2 151
21.08.2020	903	13	632	16682	0	103876	8 899	2 189
22.08.2020	900	13	522	17047	0	100066	7 892	2 195
23.08.2020	581	4	265	17359	0	98233	8 894	2 207
24.08.2020	548	5	336	17566	0	100023	8 544	2 167
25.08.2020	763	17	615	17697	0	99705	8 947	2 170
26.08.2020	729	17	698	17711	0	101678	8 984	2 185
27.08.2020	887	15	688	17895	0	101547	8 893	2 221
28.08.2020	791	9	751	17926	0	100845	8 817	2 237
29.08.2020	759	14	656	18015	0	98576	8 555	2 242
30.08.2020	631	1	446	18199	0	96351	8 397	2 249
31.08.2020	502	6	392	18303	0	96888	7 929	2 138
01.09.2020	550	19	835	17999	0	96664	8 145	2 168
02.09.2020	595	20	728	17846	0	98341	8 070	2 170
03.09.2020	612	14	1227	17217	0	71311	7 610	2 179
04.09.2020	691	8	2526	15374	0	71452	7 090	2 090
05.09.2020	567	13	1910	14018	0	70788	7 112	2 091
06.09.2020	437	7	857	13591	0	72285	7 097	2 113
07.09.2020	302	3	797	13093	0	76047	7 010	2 042
08.09.2020	400	12	1225	12256	0	79124	7 160	2 070
09.09.2020	421	11	934	11732	0	83170	7 408	1 924
10.09.2020	506	12	779	11447	0	86892	7 090	1 957
11.09.2020	594	10	877	11154	0	90216	7 343	1 946
12.09.2020	603	13	934	10810	0	91819	7 229	1 961
13.09.2020	502	6	438	10868	0	92057	6 972	1 972
14.09.2020	377	15	451	10779	0	95241	6 934	1 996
15.09.2020	605	24	562	10798	0	94273	8 062	2 007
16.09.2020	600	10	615	10773	0	103425	9 331	1 917
17.09.2020	837	16	587	11007	0	111530	10 102	1 925
18.09.2020	757	17	549	11198	0	118864	11494	1 977
19.09.2020	1002	12	441	11747	0	118212	11751	1 985
20.09.2020	910	11	302	12344	0	116871	11956	1 979
21.09.2020	748	5	368	12719	0	115789	11849	1 993
22.09.2020	711	18	589	12823	0	114000	9962	1 971
23.09.2020	974	28	597	13172	0	125220	11089	1 964
24.09.2020	1136	25	582	13701	0	137023	12937	1 995
25.09.2020	1587	23	586	14679	0	143442	13894	2 134
26.09.2020	1584	32	578	15653	0	139460	16368	2 223
27.09.2020	1350	8	516	16479	0	136128	16647	2 305
28.09.2020	1306	15	535	17235	0	134588	14660	2 399
29.09.2020	1326	36	740	17785	0	129961	15619	2 481
30.09.2020	1552	30	706	18601	0	133981	16891	2 560
01.10.2020	1967	30	952	19586	0	139056	20876	2 701
02.10.2020	2292	27	856	20995	0	158038	21464	2 850
03.10.2020	2367	34	794	22534	0	150565	22003	2 977
04.10.2020	1934	26	549	23893	0	154365	21375	3 158
05.10.2020	2006	29	606	25264	0	159530	19933	3 719
06.10.2020	2236	58	1188	26254	0	145873	21289	4 000
07.10.2020	3003	75	1144	28038	0	171251	22747	4 138
08.10.2020	4280	76	1385	30857	0	188629	26716	4 407
09.10.2020	4739	52	1107	34437	0	206048	31863	4 725
10.10.2020	5300	53	1320	38364	0	231032	32394	4 924
11.10.2020	4178	32	899	41611	0	250132	35094	5 262
12.10.2020	4394	35	803	45167	0	212446	33533	5 669
13.10.2020	5068	63	1843	48329	0	249349	33071	6084
14.10.2020	6526	116	1741	52998	0	296020	36066	6538
15.10.2020	8099	91	2185	58821	0	311625	41498	6980
16.10.2020	7705	132	4574	64005	0	327507	45605	7612
17.10.2020	9622	84	2489	71054	0	320482	45909	8076
18.10.2020	8536	49	1363	78178	0	304567	46864	8375
19.10.2020	7482	41	1942	83677	0	289447	44675	8962
20.10.2020	9291	107	2928	89933	0	335060	42688	9439
21.10.2020	10040	130	3320	96524	0	378348	47314	10091
22.10.2020	12107	168	2888	105575	0	398851	52753	10788
23.10.2020	13632	153	4252	114802	0	478761	57802	11496
24.10.2020	13628	179	3275	125012	0	446154	49174	11887
25.10.2020	11742	87	2683	133948	0	445991	54268	12282
26.10.2020	10241	45	3935	140209	0	442109	54440	13291
27.10.2020	16300	132	4267	152110	0	479288	47242	13931
28.10.2020	18820	236	5763	164933	0	489079	48977	14631
29.10.2020	20156	301	5457	179332	0	496213	49503	15444
30.10.2020	21629	202	5556	195203	0	504706	48928	16144
31.10.2020	21897	280	6315	210505	0	439159	48301	16427
01.11.2020	17171	152	7818	219706	0	435343	46844	17223
02.11.2020	15578	92	5573	229619	0	421582	46697	18160
03.11.2020	19364	227	8974	239782	0	408121	43549	18654
04.11.2020	24692	373	8721	255380	0	430732	42689	19114
05.11.2020	27143	367	10994	271162	0	433524	42562	19479
06.11.2020	27086	445	11835	285968	0	441832	52655	20249
07.11.2020	27875	349	8853	304641	0	407579	42921	20214
08.11.2020	24785	236	10008	319182	0	376567	41403	20967
09.11.2020	21713	173	11290	329432	0	407486	37655	21640
10.11.2020	25484	330	12214	342342		431104	36263	21521
11.11.2020	25221	430	11474	355659		404352	27706	21899
12.11.2020	22683	275	13231	364836		430310	30420	22298
13.11.2020	24051	419	14635	373833		440025	30625	22320
14.11.2020	25571	548	12568	386290		409322	29920	21988
15.11.2020	21854	303	11239	396602		422767	28528	22458
16.11.2020	20816	143	18260	399015		415174	25618	23033
17.11.2020	19152	357	18601	399209		415601	25663	22812
18.11.2020	19 883	603	19003	399486		434034	24717	22536
19.11.2020	23975	637	19914	402910		408567	23153	22643
20.11.2020	22464	626	25275	399473		391837	22982	22478
21.11.2020	24213	574	16896	406216		356130	22156	22094
22.11.2020	17856	330	14897	408845		362959	21290	22234
23.11.2020	15002	156	15849	407842		334331	19671	22405
